Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
-0.4019,Wed Jun 06 09:58:41 +0000 2018,0.876,0.124,0.0,"A random printing error left more than 118,000 California voters off rosters in Los Angeles County in the midst of… https://t.co/tbvyjv334z",86,CNN
0.1027,Wed Jun 06 09:48:03 +0000 2018,0.882,0.0,0.118,Early returns show voters backing recall of judge who gave Stanford swimmer Brock Turner a six month sentence for s… https://t.co/aObltSlppw,87,CNN
0.0,Wed Jun 06 09:46:22 +0000 2018,1.0,0.0,0.0,"On Wednesday, President Donald Trump's White House will host its first iftar, the sundown meal that breaks fasts du… https://t.co/P2TNIcuwVo",88,CNN
0.7213,Wed Jun 06 09:35:05 +0000 2018,0.635,0.07,0.295,"""She could make me laugh so hard. I still can't believe it."" Actor David Spade shared a warm Christmas memory in a… https://t.co/WjA0DnXf3E",89,CNN
0.0,Wed Jun 06 09:23:25 +0000 2018,1.0,0.0,0.0,Women recount why their Kate Spade purse was more than a handbag https://t.co/0oVMsppfV3 via @CNNStyle https://t.co/N2HtktZa9W,90,CNN
0.5267,Wed Jun 06 09:10:11 +0000 2018,0.603,0.138,0.259,"Kate Spade's death reminds us that success, money and apparent happiness may have nothing to do with a person's rea… https://t.co/L9R450bciu",91,CNN
-0.2263,Wed Jun 06 08:59:39 +0000 2018,0.704,0.169,0.127,"San Francisco approves a proposition to ban the sale of flavored tobacco products, including menthol cigarettes and… https://t.co/wN1RwRqK3k",92,CNN
-0.4588,Wed Jun 06 08:49:47 +0000 2018,0.842,0.158,0.0,"San Francisco has banned sales of flavored tobacco products, including menthol cigarettes and flavored vaping liqui… https://t.co/KmbPpmQBMn",93,CNN
0.1531,Wed Jun 06 08:39:07 +0000 2018,0.929,0.0,0.071,What do giant doughnuts and a hot dog as big as a firetruck have in common? They are some of the peculiar buildings… https://t.co/KQkwSfC7ft,94,CNN
0.765,Wed Jun 06 08:09:05 +0000 2018,0.742,0.0,0.258,"""We thank our great Singaporean hosts for their hospitality."" Donald Trump and Kim Jong Un will meet at the Capella… https://t.co/XqXxpEqTel",95,CNN
-0.4939,Wed Jun 06 07:55:04 +0000 2018,0.833,0.167,0.0,Van Jones says it's 'beyond insulting' for the White House to lecture black people on patriotism… https://t.co/cn00aeyxAX,96,CNN
0.0,Wed Jun 06 07:45:05 +0000 2018,1.0,0.0,0.0,Syphilis cases hit highest level in almost 70 years in England https://t.co/Tbwh5QEmlJ https://t.co/dQVtvcatA3,97,CNN
0.0,Wed Jun 06 07:31:08 +0000 2018,1.0,0.0,0.0,"Ex-White House communications director Anthony Scaramucci says ""someone had it out"" for the White House communicati… https://t.co/J5dZixCOFK",98,CNN
-0.0772,Wed Jun 06 07:15:08 +0000 2018,0.699,0.161,0.14,China's exam migrants desperate for chance to sit life-changing gaokao https://t.co/3Lrj9GhsK5 https://t.co/iSTAHdYniM,99,CNN
0.3182,Wed Jun 06 07:00:07 +0000 2018,0.892,0.0,0.108,"The original Gerber baby, Ann Turner Cook, met with 2018 spokesbaby Lucas Warren, the first child with Down syndrom… https://t.co/W4GxQyxhnU",100,CNN
0.0,Wed Jun 06 19:03:03 +0000 2018,1.0,0.0,0.0,"Tonight, #OurGirl actress @michkeegan uncovers some exceptional women on her family tree. 🙋💕

Who Do You Think You… https://t.co/HDwdTyTqIw",1,BBC
0.1779,Wed Jun 06 18:03:04 +0000 2018,0.718,0.122,0.16,No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M,2,BBC
0.0,Wed Jun 06 17:02:09 +0000 2018,1.0,0.0,0.0,"74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4",3,BBC
0.0,Wed Jun 06 16:00:01 +0000 2018,1.0,0.0,0.0,"There are more than 110,000 gang members in Honduras and they're tearing the country apart. https://t.co/ZF9M0iAvzb",4,BBC
0.3182,Wed Jun 06 13:02:05 +0000 2018,0.892,0.0,0.108,From a French novel about the Burundi genocide to a Chilean mystery: add these titles to your book shelf this month… https://t.co/T9AG8kvoPG,5,BBC
-0.5574,Wed Jun 06 12:21:20 +0000 2018,0.847,0.153,0.0,"RT @BBC_ARoadshow: Fiona discovers more about suffragette Emily Wilding Davison, who died after throwing herself in front of the King's hor…",6,BBC
-0.6523,Wed Jun 06 12:03:06 +0000 2018,0.764,0.236,0.0,"Ethan Hawke relives the time when one of his co-stars DIED on stage. #TheGNShow

https://t.co/XIG2Y8OA7m",7,BBC
0.0,Wed Jun 06 11:02:02 +0000 2018,1.0,0.0,0.0,"In 1993, Steven Spielberg's film Jurassic Park defined dinosaurs for an entire generation... but does it make scien… https://t.co/wLK4pyl9pv",8,BBC
0.0,Wed Jun 06 10:01:40 +0000 2018,1.0,0.0,0.0,"RT @BBCSpringwatch: Ever heard a beatboxing starling? 🔊 🔊

#Springwatch https://t.co/NC52eJ4MX0",9,BBC
0.4215,Wed Jun 06 08:55:39 +0000 2018,0.833,0.0,0.167,RT @bbcthree: Madame Poole has been ballet dancing for an astounding seven decades. #HearHer https://t.co/X6ltLoANl7,10,BBC
0.0,Wed Jun 06 08:55:13 +0000 2018,1.0,0.0,0.0,RT @BBCTwo: What if @BBCSpringwatch did #LoveIsland...? 💚😂 https://t.co/V7loYt8gpl,11,BBC
0.0,Wed Jun 06 08:55:07 +0000 2018,1.0,0.0,0.0,"RT @BBCFOUR: Here's a sneak preview of our brand new drama #Hidden. Starts Saturday, 9pm, @BBCFour. https://t.co/cibPD1hzr3 https://t.co/te…",12,BBC
0.2732,Wed Jun 06 08:02:01 +0000 2018,0.698,0.126,0.177,"When Mona began to lose her sight, her 84-year-old husband did something amazing for her... 💅💄❤️️

https://t.co/Qle1eoBU5x",13,BBC
-0.7579,Wed Jun 06 07:31:01 +0000 2018,0.667,0.281,0.053,"We're all familiar with that sinking, nagging feeling we get when we realise we have made the wrong choice. 😟

But… https://t.co/NPYZY5U43f",14,BBC
0.0,Wed Jun 06 07:04:04 +0000 2018,1.0,0.0,0.0,"📻🐫🦅🐼🦈 @GregJames has got a new co-host!

Sir David Attenborough becomes a @BBCR1 DJ at 5pm today... 

https://t.co/zHHtjBZZ9v",15,BBC
-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.863,0.137,0.0,"'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",16,BBC
-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.727,0.273,0.0,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",17,BBC
0.0,Tue Jun 05 18:02:06 +0000 2018,1.0,0.0,0.0,"👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",18,BBC
0.8221,Tue Jun 05 16:50:46 +0000 2018,0.719,0.0,0.281,RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,19,BBC
-0.8126,Tue Jun 05 16:31:52 +0000 2018,0.73,0.27,0.0,"💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",20,BBC
-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.814,0.11,0.076,♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,21,BBC
0.6369,Tue Jun 05 13:01:07 +0000 2018,0.84,0.0,0.16,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",22,BBC
0.8122,Tue Jun 05 12:00:22 +0000 2018,0.519,0.09,0.391,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",23,BBC
0.4019,Tue Jun 05 11:12:05 +0000 2018,0.863,0.0,0.137,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",24,BBC
0.0,Tue Jun 05 11:00:07 +0000 2018,1.0,0.0,0.0,"How does plastic actually enter our oceans? 
#WorldEnvironmentDay https://t.co/LdOt9inVFS",25,BBC
0.0,Tue Jun 05 10:45:52 +0000 2018,1.0,0.0,0.0,RT @BBCBreakfast: Have you got yours yet? #gingeremoji https://t.co/hKwIsLspYC,26,BBC
0.7096,Tue Jun 05 10:34:07 +0000 2018,0.763,0.0,0.237,RT @bbcthree: 17-year-old Dillon upcycles clothes to help young homeless people feel confident going to school or for job interviews. https…,27,BBC
0.7506,Tue Jun 05 10:31:20 +0000 2018,0.758,0.0,0.242,"RT @BBCNews: ""I was disabled before it was popular.""

@LostVoiceGuy - aka Lee Ridley - is the first comedian to win Britain's Got Talent.…",28,BBC
0.0,Tue Jun 05 10:21:33 +0000 2018,1.0,0.0,0.0,"🎨🙌 Middle-earth in colour: How Tolkien drew his fantasy universe.
👉 https://t.co/z754byqVpR https://t.co/Jr6PnQWvIU",29,BBC
0.0,Tue Jun 05 09:34:23 +0000 2018,1.0,0.0,0.0,"It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",30,BBC
0.0,Tue Jun 05 08:01:03 +0000 2018,1.0,0.0,0.0,Some of Arthur C Clarke's predictions about the future were bang on... https://t.co/6M7UJv6Mmh,31,BBC
-0.5719,Tue Jun 05 07:29:04 +0000 2018,0.764,0.236,0.0,"📎 The psychology of stealing office supplies. 
👉 https://t.co/vfXaRVYcwU https://t.co/zoPWJRXVtO",32,BBC
-0.296,Tue Jun 05 07:00:11 +0000 2018,0.845,0.155,0.0,💤 Ever wondered what your brain is up to while you're dreaming? https://t.co/2JHc0lFKbS,33,BBC
-0.5707,Mon Jun 04 19:03:02 +0000 2018,0.822,0.178,0.0,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",34,BBC
-0.4767,Mon Jun 04 18:31:05 +0000 2018,0.829,0.171,0.0,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",35,BBC
-0.5859,Mon Jun 04 18:02:05 +0000 2018,0.769,0.231,0.0,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,36,BBC
